 ,Area,Perim.,Circ.,d1,d2,D1divD2,DC
52,0.036,1.167,0.335,0.502,0.183,2.739,0.304
53,0.078,1.597,0.384,0.461,0.351,1.312,0.402
54,0.055,0.969,0.742,0.394,0.203,1.942,0.283
55,0.138,1.521,0.748,0.551,0.353,1.559,0.441
56,0.194,3.874,0.163,1.404,0.445,3.155,0.791
57,0.028,0.638,0.873,0.244,0.161,1.515,0.198
58,0.018,0.463,1.000,0.173,0.140,1.231,0.156
59,0.010,0.388,0.871,0.166,0.088,1.897,0.121
60,0.007,0.419,0.484,0.194,0.053,3.682,0.101
61,0.080,1.426,0.495,0.594,0.240,2.476,0.377
62,0.008,0.378,0.676,0.166,0.077,2.173,0.113
63,0.030,0.672,0.840,0.259,0.171,1.510,0.211
64,0.024,0.599,0.852,0.239,0.123,1.943,0.171
65,0.010,0.399,0.778,0.166,0.102,1.623,0.130
66,0.007,0.283,1.000,0.111,0.088,1.265,0.099
67,0.030,1.165,0.273,0.479,0.144,3.318,0.263
68,0.032,0.773,0.680,0.277,0.193,1.437,0.231
69,0.039,0.812,0.745,0.294,0.206,1.425,0.246
70,0.035,0.876,0.574,0.372,0.170,2.184,0.252
71,0.077,1.390,0.500,0.487,0.351,1.385,0.413
72,0.049,0.907,0.748,0.337,0.231,1.464,0.279
73,0.009,0.374,0.802,0.157,0.084,1.876,0.115
74,0.043,0.856,0.745,0.323,0.218,1.483,0.265
75,0.024,0.583,0.900,0.228,0.158,1.444,0.190
76,0.255,4.780,0.140,1.299,0.556,2.337,0.850
77,0.179,2.830,0.281,1.129,0.395,2.858,0.668
